Pozo,Profundidad,Porosidad,Permeabilidad,Saturacion_agua,Volumen_arcilla
P1,1084.7,0.0001,,1.0,1.0
P1,1084.8,0.0001,,1.0,1.0
P1,1084.9,0.0001,,1.0,1.0
P1,1085.0,0.0001,,1.0,0.9822
P1,1085.6,0.0004,,1.0,0.847
P1,1085.7,0.0001,,1.0,0.9183
P1,1085.8,0.0004,,1.0,0.8491
P1,1086.8,0.0097,,1.0,0.7040000000000001
P1,1086.9,0.006,,1.0,0.7306
P1,1087.0,0.0089,,1.0,0.7086
P1,1088.0,0.0071,,1.0,0.7215
P1,1088.1,0.0003,,1.0,0.8674
P1,1088.2,0.0001,,1.0,0.9369
P1,1088.3,0.0001,,1.0,0.8938
P1,1088.4,0.0008,,1.0,0.8251
P1,1088.5,0.0011,,1.0,0.8093
P1,1088.6,0.0001,,1.0,0.93
P1,1088.7,0.0001,,1.0,1.0
P1,1088.8,0.0001,,1.0,1.0
P1,1088.9,0.0011,,1.0,0.8097
P1,1090.1,0.0008,,1.0,0.8211
P1,1090.2,0.0002,,1.0,0.8811
P1,1090.3,0.0004,,1.0,0.8546
P1,1090.4,0.0003,,1.0,0.8602
P1,1090.5,0.0087,,1.0,0.7101
P1,1092.6,0.0002,,1.0,0.8695
P1,1092.7,0.0001,,1.0,0.9497
P1,1092.8,0.0001,,1.0,1.0
P1,1092.9,0.0001,,1.0,0.9637
P1,1093.0,0.0003,,1.0,0.8665
P1,1094.3,0.0073,,1.0,0.7196
P1,1094.4,0.0025,,1.0,0.7737
P1,1094.5,0.0018,,1.0,0.7883
P1,1095.2,0.0042,,1.0,0.7485
P1,1095.3,0.0003,,1.0,0.8563
P1,1095.4,0.0001,,1.0,0.9898
P1,1095.5,0.0001,,1.0,0.9958
P1,1095.6,0.0001,,1.0,0.9288
P1,1095.7,0.0001,,1.0,0.9086
P1,1095.8,0.0026,,1.0,0.7722
P1,1097.8,0.0045,,1.0,0.7446
P1,1098.1,0.0009,,1.0,0.8183
P1,1098.2,0.0001,,1.0,1.0
P1,1098.3,0.0001,,1.0,1.0
P1,1098.4,0.0001,,1.0,1.0
P1,1098.5,0.0001,,1.0,0.8932
P1,1098.6,0.0001,,1.0,1.0
P1,1098.7,0.0001,,1.0,1.0
P1,1098.8,0.0001,,1.0,1.0
P1,1098.9,0.0001,,1.0,1.0
P1,1099.0,0.0001,,1.0,1.0
P1,1099.1,0.0001,,1.0,1.0
P1,1099.2,0.0001,,1.0,1.0
P1,1099.3,0.0069,,1.0,0.7224
P1,1101.0,0.0004,,1.0,0.8543
P1,1101.1,0.0001,,1.0,0.9574
P1,1101.2,0.0001,,1.0,0.9628
P1,1101.3,0.0001,,1.0,1.0
P1,1101.4,0.0001,,1.0,1.0
P1,1101.5,0.0001,,1.0,0.9909
P1,1101.6,0.0001,,1.0,1.0
P1,1101.7,0.0001,,1.0,1.0
P1,1101.8,0.0001,,1.0,0.9601
P1,1101.9,0.0016,,1.0,0.7931
P1,1102.0,0.0021,,1.0,0.782
P1,1102.1,0.0001,,1.0,0.9942
P1,1102.2,0.0001,,1.0,1.0
P1,1102.3,0.0001,,1.0,1.0
P1,1102.4,0.0001,,1.0,1.0
P1,1102.5,0.0001,,1.0,1.0
P1,1102.6,0.0005,,1.0,0.8394
P1,1102.7,0.0079,,1.0,0.7156
P1,1104.4,0.0001,,1.0,0.9504
P1,1104.5,0.0001,,1.0,0.9748
P1,1105.2,0.0005,,1.0,0.8425
P1,1105.3,0.0001,,1.0,0.9868
P1,1105.4,0.0001,,1.0,0.9121
P1,1105.5,0.0001,,1.0,0.9185
P1,1105.6,0.0003,,1.0,0.861
P1,1105.7,0.0021,,1.0,0.7809
P1,1105.8,0.0045,,1.0,0.7456
P1,1105.9,0.0026,,1.0,0.7721
P1,1106.0,0.0001,,1.0,1.0
P1,1106.1,0.0001,,1.0,1.0
P1,1106.2,0.0001,,1.0,1.0
P1,1106.3,0.0001,,1.0,1.0
P1,1106.4,0.0001,,1.0,1.0
P1,1106.5,0.0001,,1.0,1.0
P1,1106.6,0.0001,,1.0,1.0
P1,1106.7,0.0001,,1.0,1.0
P1,1106.8,0.0001,,1.0,1.0
P1,1106.9,0.0001,,1.0,1.0
P1,1107.0,0.0001,,1.0,1.0
P1,1107.1,0.0001,,1.0,0.9023
P1,1107.2,0.0072,,1.0,0.7207
P1,1108.0,0.0005,,1.0,0.8454
P1,1108.1,0.0001,,1.0,1.0
P1,1108.2,0.0001,,1.0,1.0
P1,1108.3,0.0001,,1.0,0.9645
P1,1108.4,0.0001,,1.0,0.953
P1,1108.5,0.0001,,1.0,0.9175
P1,1108.6,0.0008,,1.0,0.8229
P1,1109.9,0.0004,,1.0,0.8497
P1,1110.0,0.0001,,1.0,0.995
P1,1110.1,0.0001,,1.0,1.0
P1,1110.2,0.0001,,1.0,0.9676
P1,1110.3,0.0001,,1.0,0.9573
P1,1110.4,0.0001,,1.0,0.9053
P1,1110.5,0.0007,,1.0,0.8315
P1,1110.9,0.0011,,1.0,0.8088
P1,1111.6,0.0059,,1.0,0.7315
P1,1111.7,0.0001,,1.0,1.0
P1,1111.8,0.0001,,1.0,1.0
P1,1111.9,0.0001,,1.0,1.0
P1,1112.0,0.0001,,1.0,1.0
P1,1112.1,0.0001,,1.0,1.0
P1,1112.2,0.0025,,1.0,0.7742
P1,1116.3,0.0001,,1.0,0.9402
P1,1116.4,0.0001,,1.0,1.0
P1,1116.5,0.0007,,1.0,0.8282
P1,1116.6,0.0006,,1.0,0.8322
P1,1118.6,0.0075,,1.0,0.7182
