DEPTH,Shale,Dolomite,Limestone,Primary Porosity,Secondary Porosity,Facie C
4240.7664,0.003648,0.595861,0.304989,0.011346,0.084155,9
4240.9188,0.001653,0.61421,0.289004,0.013483,0.08165,9
4241.0712,0,0.615489,0.289632,0.014468,0.080412,9
4241.2236,0.000406,0.507604,0.400723,0.01932,0.071947,9
4241.376,0.003186,0.47833,0.432085,0.030101,0.056298,7
4241.5284,0.003186,0.47833,0.432085,0.030101,0.056298,7
4241.6808,0.00709,0.398776,0.525644,0.027926,0.040563,8
4241.8332,0.014072,0.396867,0.528812,0.023761,0.036489,8
4241.9856,0.025752,0.458755,0.457103,0.019392,0.038998,8
4242.138,0.035438,0.540911,0.36221,0.025459,0.035982,10
4242.2904,0.054836,0.554954,0.329025,0.027612,0.033574,10
4242.4428,0.094523,0.505987,0.34302,0.017824,0.038646,10
4242.5952,0.134087,0.396005,0.41966,0.004099,0.046148,8
4242.7476,0.133125,0.338142,0.469898,0.004061,0.054775,7
4242.9,0.090895,0.203901,0.627681,0.004179,0.073345,7
4243.0524,0.036005,0.073406,0.800312,0.004391,0.085886,7
4243.2048,0.009985,0,0.904859,0.004547,0.080609,7
4243.3572,0.000041,0.000643,0.924933,0.014908,0.059475,7
4243.5096,0,0.150752,0.78046,0.011241,0.057547,7
4243.662,0,0.281658,0.650069,0.010695,0.057578,7
4243.8144,0,0.489447,0.447274,0.006928,0.056351,7
4243.9668,0,0.600265,0.345477,0.009618,0.044639,10
4244.1192,0,0.688979,0.253973,0.011153,0.045896,10
4244.2716,0.000036,0.807576,0.126824,0.014319,0.051245,9
4244.424,0,0.882151,0.044006,0.022011,0.051832,9
4244.5764,0.000002,0.887089,0.038529,0.022312,0.052069,9
4244.7288,0,0.905122,0.015383,0.023295,0.0562,9
4244.8812,0,0.892075,0.015124,0.024725,0.068077,9
4245.0336,0,0.877544,0.020813,0.020991,0.080652,9
4245.186,0,0.666591,0.228857,0.012032,0.092521,9
4245.3384,0,0.629287,0.266202,0.012035,0.092476,9
4245.4908,0.000001,0.604703,0.293026,0.015497,0.086773,9
4245.6432,0,0.539697,0.356893,0.01666,0.08675,9
4245.7956,0,0.546398,0.356735,0.015058,0.081809,9
4245.948,0,0.546634,0.356744,0.011368,0.085254,9
4246.1004,0,0.511371,0.394161,0.008048,0.08642,9
4246.2528,0.001341,0.558285,0.344543,0.005012,0.090819,9
4246.4052,0.000972,0.590025,0.310412,0.006191,0.0924,9
4246.5576,0,0.587226,0.308255,0.007694,0.096824,9
4246.71,0,0.647806,0.238461,0.0101,0.103633,9
4246.8624,0.000157,0.659621,0.207375,0.01226,0.120587,9
4247.0148,0,0.652211,0.204927,0.012709,0.130152,9
4247.1672,0,0.60732,0.251984,0.012741,0.127955,9
4247.3196,0.000423,0.755741,0.110366,0.033455,0.100015,9
4247.472,0.000005,0.728295,0.14702,0.031505,0.093175,9
4247.6244,0.000038,0.758578,0.137404,0.016199,0.08778,9
4247.7768,0,0.777297,0.119111,0.012768,0.090823,9
4247.9292,0,0.711466,0.18524,0.014743,0.088551,9
4248.0816,0.001485,0.659686,0.230815,0.01337,0.094643,9
4248.234,0.005022,0.574885,0.314728,0.015917,0.089448,9
4248.3864,0.007905,0.499017,0.397221,0.011627,0.084231,7
4248.5388,0.009002,0.467656,0.440943,0.025602,0.056797,7
4248.6912,0.011714,0.527063,0.386999,0.021897,0.052327,9
4248.8436,0.021981,0.619888,0.287441,0.021344,0.049347,10
4248.996,0.04429,0.677689,0.212401,0.018587,0.047032,10
4249.1484,0.064381,0.724729,0.152955,0.010088,0.047848,10
4249.3008,0.062014,0.775935,0.107485,0.004439,0.050127,9
4249.4532,0.043072,0.821767,0.077683,0.00452,0.052958,9
