Pozo,Profundidad,Porosidad,Permeabilidad,Saturacion_agua,Volumen_arcilla
P3,1043.6,0.0984,0.0916,0.7215,0.1964
P3,1043.7,0.0485,0.0063,0.9507,0.4587
P3,1043.8,0.0051,0,1,0.7461
P3,1043.9,0.0175,0.0003,1,0.6709
P3,1044,0.0457,0.01,0.6903,0.4925
P3,1044.1,0.0823,0.1438,0.44,0.2943
P3,1044.2,0.0966,0.3411,0.3635,0.1897
P3,1044.3,0.0664,0.0492,0.5453,0.3026
P3,1044.4,0.033,0.0018,1,0.4492
P3,1044.5,0.0088,0,1,0.6039
P3,1044.6,0.0196,0.0004,1,0.5959
P3,1044.7,0.0001,0,1,0.8881
P3,1044.8,0.0001,0,1,1
P3,1044.9,0.0001,0,1,1
P3,1045,0.0001,0,1,1
P3,1045.1,0.0001,0,1,1
P3,1045.2,0.0001,0,1,1
P3,1045.3,0.0001,0,1,1
P3,1045.4,0.0001,0,1,1
P3,1045.5,0.0001,0,1,1
P3,1045.6,0.0001,0,1,1
P3,1045.7,0.0001,0,1,1
P3,1045.8,0.0001,0,1,1
P3,1045.9,0.0001,0,1,1
P3,1046,0.0001,0,1,1
P3,1046.1,0.0001,0,1,1
P3,1046.2,0.0001,0,1,1
P3,1046.3,0.0001,0,1,1
P3,1046.4,0.0001,0,1,1
P3,1046.5,0.0001,0,1,1
P3,1046.6,0.0001,0,1,1
P3,1046.7,0.0001,0,1,1
P3,1046.8,0.0001,0,1,1
P3,1046.9,0.0001,0,1,1
P3,1047,0.0001,0,1,1
P3,1047.1,0.0001,0,1,1
P3,1047.2,0.0001,0,1,1
P3,1047.3,0.0001,0,1,1
P3,1047.4,0.0001,0,1,1
P3,1047.5,0.0001,0,1,1
P3,1047.6,0.0001,0,1,1
P3,1047.7,0.0001,0,1,1
P3,1047.8,0.0001,0,1,1
P3,1047.9,0.0001,0,1,1
P3,1048,0.0001,0,1,1
P3,1048.1,0.0001,0,1,1
P3,1048.2,0.0001,0,1,1
P3,1048.3,0.0001,0,1,0.9784
P3,1048.4,0.0001,0,1,0.9919
P3,1048.5,0.0001,0,1,1
P3,1048.6,0.0001,0,1,1
P3,1048.7,0.0001,0,1,1
P3,1048.8,0.0001,0,1,1
P3,1048.9,0.0001,0,1,1
P3,1049,0.0001,0,1,1
P3,1049.1,0.0001,0,1,1
P3,1049.2,0.0001,0,1,1
P3,1049.3,0.0001,0,1,1
P3,1049.4,0.0001,0,1,1
P3,1049.5,0.0001,0,1,1
P3,1049.6,0.0001,0,1,1
P3,1049.7,0.0001,0,1,1
P3,1049.8,0.0001,0,1,1
P3,1049.9,0.0001,0,1,1
P3,1050,0.0001,0,1,1
P3,1050.1,0.0001,0,1,1
P3,1050.2,0.0001,0,1,1
P3,1050.3,0.0001,0,1,1
P3,1050.4,0.0001,0,1,1
P3,1050.5,0.0001,0,1,1
P3,1050.6,0.0001,0,1,1
P3,1050.7,0.0001,0,1,1
P3,1050.8,0.0001,0,1,1
P3,1050.9,0.0001,0,1,0.9539
P3,1051,0.0001,0,1,1
P3,1051.1,0.0001,0,1,1
P3,1051.2,0.0001,0,1,1
P3,1051.3,0.0001,0,1,1
P3,1051.4,0.0001,0,1,1
P3,1051.5,0.0001,0,1,1
P3,1051.6,0.0001,0,1,1
P3,1051.7,0.0001,0,1,1
P3,1051.8,0.0001,0,1,1
P3,1051.9,0.0001,0,1,0.9344
P3,1052,0.0001,0,1,0.9747
P3,1052.1,0.0001,0,1,1
P3,1052.2,0.0001,0,1,1
P3,1052.3,0.0001,0,1,1
P3,1052.4,0.0001,0,1,1
P3,1052.5,0.0001,0,1,1
P3,1052.6,0.0001,0,1,1
P3,1052.7,0.0001,0,1,1
P3,1052.8,0.0001,0,1,1
P3,1052.9,0.0001,0,1,1
P3,1053,0.0001,0,1,1
P3,1053.1,0.0001,0,1,1
P3,1053.2,0.0001,0,1,1
P3,1053.3,0.0001,0,1,1
P3,1053.4,0.0001,0,1,1
P3,1053.5,0.0001,0,1,1
P3,1053.6,0.0001,0,1,1
