Pozo,Profundidad,Porosidad,Permeabilidad,Saturacion_agua,Volumen_arcilla
P1,1055.9,0.001,0.15173369057947506,1.0,0.8157
P1,1059.1,0.0016,0.19840303095262912,1.0,0.7945
P1,1059.2,0.0002,0.09265364758048988,1.0,0.8757
P1,1059.3,0.0005,0.11759737465769143,1.0,0.8432
P1,1061.1,0.0077,2.410491213341824,1.0,0.7170000000000001
P1,1061.2,0.0003,0.10536636685225498,1.0,0.8561
P1,1061.3,0.0002,0.08680558088390944,1.0,0.8857
P1,1061.4,0.0001,0.07788216414903226,1.0,0.8988
P1,1061.5,0.0001,0.06794334228855259,1.0,0.9165
P1,1061.6,0.0001,0.08272240931635422,1.0,0.8905
P1,1061.7,0.0006,0.12340082569314809,1.0,0.8386
P1,1062.5,0.0001,0.05390322805594294,1.0,0.9556
P1,1062.6,0.0014,0.18153470642419334,1.0,0.8012
P1,1062.7,0.0029,0.371291163879221,1.0,0.7662
P1,1062.8,0.0002,0.08958366901180093,1.0,0.8809999999999999
P1,1062.9,0.0002,0.08775609290410602,1.0,0.8841
P1,1063.0,0.0001,0.06758595586252714,1.0,1.0
P1,1063.1,0.0001,0.06758595586252714,1.0,1.0
P1,1063.2,0.0001,0.059056079983837884,1.0,0.9867
P1,1063.3,0.0025,0.29964493903331896,1.0,0.7739
P1,1064.1,0.0003,0.10153145001970876,1.0,0.8634
P1,1064.2,0.0001,0.05364713236751251,1.0,0.9582
P1,1064.3,0.0015,0.18963863770410716,1.0,0.7981
P1,1065.0,0.0049,1.1802036654326078,1.0,0.7408
P1,1065.1,0.005,1.2419442324770928,1.0,0.7394
P1,1066.0,0.0006,0.1257766069927871,1.0,0.8332
P1,1066.1,0.0003,0.09949301867967941,1.0,0.8671
P1,1066.2,0.0001,0.07231783615345644,1.0,0.9085
P1,1066.3,0.0001,0.06120894878157701,1.0,0.9304
P1,1066.4,0.0001,0.05709399139296911,1.0,0.9822
P1,1066.5,0.0001,0.06868873065746062,1.0,0.9151
P1,1066.6,0.0001,0.06758595586252714,1.0,1.0
P1,1066.7,0.0001,0.06758595586252714,1.0,1.0
P1,1066.8,0.0001,0.06758595586252714,1.0,1.0
P1,1066.9,0.0001,0.06758595586252714,1.0,1.0
P1,1067.0,0.0001,0.0567919884498993,1.0,0.9814
P1,1067.1,0.0001,0.08434965755820056,1.0,0.8877
P1,1067.2,0.0001,0.056646204180270776,1.0,0.981
